Tiempo_Elastico,Posicion_1_Elastico,Velocidad_1_Elastico,Aceleracion_1_Elastico,Posicion_2_Elastico,Velocidad_2_Elastico,Aceleracion_2_Elastico
1.33,0.0000,-0.002,-0.417,0.0000,0.000,0.000
1.35,0.0000,-0.008,-0.838,0.0000,0.000,0.000
1.36,0.0000,-0.029,-0.959,0.0000,0.000,0.000
1.37,-0.0010,-0.038,-0.820,0.0000,0.000,0.000
1.39,-0.0010,-0.046,-0.933,0.0000,0.000,0.000
1.40,-0.0020,-0.067,-0.725,0.0000,0.000,0.004
1.41,-0.0030,-0.071,-0.213,0.0000,0.000,0.030
1.43,-0.0040,-0.069,-0.035,0.0000,0.000,0.152
1.44,-0.0050,-0.058,-0.734,0.0000,0.002,0.417
1.45,-0.0050,-0.083,-1.754,0.0000,0.008,0.842
1.47,-0.0070,-0.125,-1.484,0.0000,0.029,0.994
1.48,-0.0090,-0.125,-0.972,0.0010,0.038,1.007
1.49,-0.0100,-0.144,-0.851,0.0010,0.048,1.528
1.51,-0.0130,-0.150,-0.621,0.0020,0.077,2.092
1.52,-0.0140,-0.156,-0.703,0.0030,0.110,2.214
1.53,-0.0170,-0.173,-0.564,0.0050,0.142,1.940
1.55,-0.0190,-0.167,-0.716,0.0070,0.158,1.849
1.56,-0.0210,-0.188,-1.150,0.0090,0.188,1.984
1.57,-0.0240,-0.208,-0.977,0.0120,0.217,1.819
1.59,-0.0270,-0.206,-1.215,0.0150,0.233,1.784
1.60,-0.0290,-0.233,-1.806,0.0180,0.263,1.767
1.61,-0.0330,-0.273,-1.259,0.0220,0.290,1.107
1.63,-0.0370,-0.269,-0.586,0.0260,0.296,0.187
1.64,-0.0400,-0.273,-0.872,0.0300,0.292,-0.477
1.65,-0.0440,-0.294,-1.107,0.0340,0.273,-0.391
1.67,-0.0480,-0.306,-1.076,0.0370,0.273,0.252
1.68,-0.0520,-0.327,-0.694,0.0410,0.290,0.273
1.69,-0.0570,-0.329,-0.048,0.0450,0.290,-0.278
1.71,-0.0610,-0.317,-0.156,0.0490,0.273,-0.278
1.72,-0.0650,-0.331,-0.425,0.0520,0.273,0.278
1.73,-0.0700,-0.335,-0.260,0.0560,0.290,0.278
1.75,-0.0740,-0.338,-0.095,0.0600,0.290,-0.273
1.76,-0.0790,-0.338,0.095,0.0640,0.273,-0.252
1.77,-0.0830,-0.335,0.260,0.0670,0.273,0.395
1.79,-0.0880,-0.331,0.425,0.0710,0.292,0.512
1.80,-0.0920,-0.317,0.148,0.0750,0.296,-0.004
1.81,-0.0960,-0.329,-0.013,0.0790,0.292,-0.538
1.83,-0.1010,-0.327,0.399,0.0830,0.273,-0.512
1.84,-0.1050,-0.310,0.299,0.0860,0.271,0.013
1.85,-0.1090,-0.310,-0.299,0.0900,0.283,-0.030
1.87,-0.1130,-0.327,-0.399,0.0940,0.271,-0.161
1.88,-0.1180,-0.329,0.013,0.0970,0.271,0.156
1.89,-0.1220,-0.317,-0.143,0.1010,0.283,-0.000
1.91,-0.1260,-0.331,-0.399,0.1050,0.271,-0.156
1.92,-0.1310,-0.335,-0.143,0.1080,0.271,0.156
1.93,-0.1350,-0.335,0.143,0.1120,0.283,0.000
1.95,-0.1400,-0.331,0.399,0.1160,0.271,-0.156
1.96,-0.1440,-0.317,0.148,0.1190,0.271,0.156
1.97,-0.1480,-0.329,0.013,0.1230,0.283,-0.000
1.99,-0.1530,-0.327,0.517,0.1270,0.271,-0.156
2.00,-0.1570,-0.308,0.538,0.1300,0.271,0.156
2.01,-0.1610,-0.304,0.000,0.1340,0.283,-0.000
2.03,-0.1650,-0.308,-0.538,0.1380,0.271,-0.161
2.04,-0.1690,-0.327,-0.512,0.1410,0.271,0.130
2.05,-0.1740,-0.329,0.013,0.1450,0.283,-0.117
2.07,-0.1780,-0.317,-0.030,0.1490,0.269,-0.395
2.08,-0.1820,-0.329,-0.161,0.1520,0.265,-0.143
2.09,-0.1870,-0.329,0.161,0.1560,0.265,0.143
2.11,-0.1910,-0.317,0.026,0.1590,0.269,0.395
2.12,-0.1950,-0.329,-0.039,0.1630,0.283,0.117
2.13,-0.2000,-0.327,0.395,0.1670,0.271,-0.135
2.15,-0.2040,-0.310,0.304,0.1700,0.271,0.130
2.16,-0.2080,-0.310,-0.269,0.1740,0.283,-0.148
2.17,-0.2120,-0.327,-0.247,0.1780,0.269,-0.538
2.19,-0.2170,-0.327,0.425,0.1810,0.263,-0.499
2.20,-0.2210,-0.308,0.655,0.1850,0.256,-0.395
2.21,-0.2250,-0.302,0.352,0.1880,0.244,0.239
2.23,-0.2290,-0.300,0.000,0.1910,0.263,0.812
2.24,-0.2330,-0.302,-0.352,0.1950,0.281,0.382
2.25,-0.2370,-0.308,-0.655,0.1990,0.271,-0.013
2.27,-0.2410,-0.327,-0.425,0.2020,0.271,0.156
2.28,-0.2460,-0.327,0.247,0.2060,0.283,-0.143
2.29,-0.2500,-0.310,0.269,0.2100,0.269,-0.538
2.31,-0.2540,-0.310,-0.304,0.2130,0.263,-0.499
2.32,-0.2580,-0.327,-0.395,0.2170,0.256,-0.395
2.33,-0.2630,-0.329,0.043,0.2200,0.244,0.234
2.35,-0.2670,-0.317,0.004,0.2230,0.263,0.781
2.36,-0.2710,-0.329,-0.013,0.2270,0.281,0.234
2.37,-0.2760,-0.327,0.543,0.2310,0.269,-0.395
2.39,-0.2800,-0.308,0.681,0.2340,0.263,-0.495
2.40,-0.2840,-0.302,0.356,0.2380,0.256,-0.512
2.41,-0.2880,-0.300,0.000,0.2410,0.242,-0.026
2.43,-0.2920,-0.302,-0.352,0.2440,0.256,0.395
2.44,-0.2960,-0.308,-0.651,0.2480,0.260,0.286
2.45,-0.3000,-0.327,-0.395,0.2510,0.263,0.239
2.47,-0.3050,-0.327,0.395,0.2550,0.265,0.260
2.48,-0.3090,-0.308,0.655,0.2580,0.269,0.278
2.49,-0.3130,-0.302,0.382,0.2620,0.281,-0.260
2.51,-0.3170,-0.300,0.148,0.2660,0.263,-0.790
2.52,-0.3210,-0.300,0.026,0.2690,0.244,-0.265
2.53,-0.3250,-0.300,-0.026,0.2720,0.256,0.247
2.55,-0.3290,-0.300,-0.148,0.2760,0.260,0.113
2.56,-0.3330,-0.302,-0.382,0.2790,0.260,-0.148
2.57,-0.3370,-0.308,-0.655,0.2830,0.256,-0.395
2.59,-0.3410,-0.327,-0.395,0.2860,0.242,-0.117
2.60,-0.3460,-0.327,0.395,0.2890,0.254,0.135
2.61,-0.3500,-0.308,0.655,0.2930,0.254,-0.135
2.63,-0.3540,-0.302,0.378,0.2960,0.242,0.117
2.64,-0.3580,-0.300,0.117,0.2990,0.256,0.395
2.65,-0.3620,-0.300,-0.117,0.3030,0.260,0.143
2.67,-0.3660,-0.302,-0.378,0.3060,0.260,-0.139
2.68,-0.3700,-0.308,-0.655,0.3100,0.256,-0.369
2.69,-0.3740,-0.327,-0.395,0.3130,0.242,-0.000
2.71,-0.3790,-0.327,0.395,0.3160,0.256,0.365
2.72,-0.3830,-0.308,0.655,0.3200,0.260,0.113
2.73,-0.3870,-0.302,0.382,0.3230,0.260,-0.260
2.75,-0.3910,-0.300,0.148,0.3270,0.254,-0.634
2.76,-0.3950,-0.300,0.030,0.3300,0.235,-0.417
2.77,-0.3990,-0.300,0.004,0.3330,0.235,0.273
2.79,-0.4030,-0.300,-0.000,0.3360,0.252,0.391
2.80,-0.4070,-0.300,-0.000,0.3400,0.254,-0.043
2.81,-0.4110,-0.300,-0.000,0.3430,0.242,0.000
2.83,-0.4150,-0.300,0.000,0.3460,0.254,0.043
2.84,-0.4190,-0.300,0.000,0.3500,0.252,-0.395
2.85,-0.4230,-0.300,-0.000,0.3530,0.235,-0.304
2.87,-0.4270,-0.300,0.004,0.3560,0.235,0.269
2.88,-0.4310,-0.300,0.030,0.3590,0.252,0.247
2.89,-0.4350,-0.300,0.152,0.3630,0.252,-0.425
2.91,-0.4390,-0.298,0.417,0.3660,0.233,-0.668
2.92,-0.4430,-0.292,0.846,0.3690,0.227,-0.451
2.93,-0.4470,-0.271,1.037,0.3720,0.225,-0.525
2.95,-0.4500,-0.263,1.267,0.3750,0.221,-1.267
2.96,-0.4540,-0.250,2.513,0.3780,0.204,-3.025
2.97,-0.4570,-0.208,4.714,0.3810,0.144,-5.109
2.99,-0.4600,-0.127,6.949,0.3820,0.063,-6.697
3.00,-0.4610,-0.004,7.644,0.3830,-0.044,-7.375
3.01,-0.4600,0.110,5.899,0.3810,-0.158,-6.198
3.03,-0.4570,0.154,3.802,0.3780,-0.219,-4.171
3.04,-0.4560,0.194,2.748,0.3750,-0.260,-2.587
3.05,-0.4520,0.235,1.363,0.3710,-0.288,-1.124
3.07,-0.4490,0.229,0.217,0.3670,-0.290,0.043
3.08,-0.4460,0.227,0.065,0.3630,-0.273,0.208
3.09,-0.4430,0.227,0.269,0.3600,-0.273,-0.430
3.11,-0.4400,0.233,0.517,0.3560,-0.292,-0.660
3.12,-0.4370,0.250,0.161,0.3520,-0.298,-0.382
3.13,-0.4330,0.246,-0.642,0.3480,-0.300,-0.148
3.15,-0.4300,0.215,-0.278,0.3440,-0.300,-0.030
3.16,-0.4280,0.229,0.647,0.3400,-0.300,-0.004
3.17,-0.4240,0.250,0.417,0.3360,-0.300,0.004
3.19,-0.4210,0.250,-0.417,0.3320,-0.300,0.030
3.20,-0.4170,0.229,-0.647,0.3280,-0.300,0.148
3.21,-0.4150,0.215,0.278,0.3240,-0.298,0.382
3.23,-0.4120,0.246,0.642,0.3200,-0.292,0.655
3.24,-0.4080,0.250,-0.161,0.3160,-0.273,0.395
3.25,-0.4050,0.233,-0.508,0.3130,-0.273,-0.391
3.27,-0.4020,0.227,-0.213,0.3090,-0.292,-0.625
3.28,-0.3990,0.227,0.213,0.3050,-0.298,-0.234
3.29,-0.3960,0.233,0.508,0.3010,-0.298,0.234
3.31,-0.3930,0.250,0.156,0.2970,-0.292,0.625
3.32,-0.3890,0.246,-0.668,0.2930,-0.273,0.391
3.33,-0.3860,0.215,-0.395,0.2900,-0.273,-0.395
