Tiempo_ElasticoMolde,Posicion_1_ElasticoMolde,Velocidad_1_ElasticoMolde,Aceleracion_1_ElasticoMolde,Posicion_2_ElasticoMolde,Velocidad_2_ElasticoMolde,Aceleracion_2_ElasticoMolde
0.00,0.0000,0.000,0.000,0.0000,0.000,0.000
0.01,0.0000,0.000,0.000,0.0000,0.000,0.000
0.03,0.0000,0.000,0.000,0.0000,0.000,0.000
0.04,0.0000,0.000,0.000,0.0000,0.000,0.000
0.05,0.0000,0.000,0.000,0.0000,0.000,0.000
0.07,0.0000,0.000,0.000,0.0000,0.000,0.000
0.08,0.0000,0.000,0.000,0.0000,0.000,0.000
0.09,0.0000,0.000,0.000,0.0000,0.000,0.000
0.11,0.0000,0.000,0.000,0.0000,0.000,0.000
0.12,0.0000,0.000,0.000,0.0000,0.000,0.000
0.13,0.0000,0.000,0.000,0.0000,0.000,0.000
0.15,0.0000,0.000,0.000,0.0000,0.000,0.000
0.16,0.0000,0.000,0.000,0.0000,0.000,0.000
0.17,0.0000,0.000,0.000,0.0000,0.000,0.000
0.19,0.0000,0.000,0.000,0.0000,0.000,0.000
0.20,0.0000,0.000,0.000,0.0000,0.000,0.000
0.21,0.0000,0.000,0.000,0.0000,0.000,0.000
0.23,0.0000,0.000,0.000,0.0000,0.000,0.000
0.24,0.0000,0.000,0.000,0.0000,0.000,0.000
0.25,0.0000,0.000,0.000,0.0000,0.000,0.000
0.27,0.0000,0.000,0.000,0.0000,0.000,0.000
0.28,0.0000,0.000,0.000,0.0000,0.000,0.000
0.29,0.0000,0.000,0.000,0.0000,0.000,0.000
0.31,0.0000,0.000,0.000,0.0000,0.000,0.000
0.32,0.0000,0.000,0.000,0.0000,0.000,0.000
0.33,0.0000,0.000,0.000,0.0000,0.000,0.000
0.35,0.0000,0.000,0.000,0.0000,0.000,0.000
0.36,0.0000,0.000,0.000,0.0000,0.000,0.000
0.37,0.0000,0.000,0.000,0.0000,0.000,0.000
0.39,0.0000,0.000,0.000,0.0000,0.000,0.000
0.40,0.0000,0.000,0.000,0.0000,0.000,0.000
0.41,0.0000,0.000,0.000,0.0000,0.000,0.000
0.43,0.0000,0.000,0.000,0.0000,0.000,0.000
0.44,0.0000,0.000,0.000,0.0000,0.000,0.000
0.45,0.0000,0.000,0.000,0.0000,0.000,0.000
0.47,0.0000,0.000,0.000,0.0000,0.000,0.000
0.48,0.0000,0.000,0.000,0.0000,0.000,0.000
0.49,0.0000,0.000,0.000,0.0000,0.000,0.000
0.51,0.0000,0.000,0.000,0.0000,0.000,0.000
0.52,0.0000,0.000,0.000,0.0000,0.000,0.000
0.53,0.0000,0.000,0.000,0.0000,0.000,0.000
0.55,0.0000,0.000,0.000,0.0000,0.000,0.000
0.56,0.0000,0.000,0.000,0.0000,0.000,0.000
0.57,0.0000,0.000,0.000,0.0000,0.000,0.000
0.59,0.0000,0.000,0.000,0.0000,0.000,0.000
0.60,0.0000,0.000,0.000,0.0000,0.000,0.000
0.61,0.0000,0.000,0.000,0.0000,0.000,0.000
0.63,0.0000,0.000,0.000,0.0000,0.000,0.000
0.64,0.0000,0.000,0.000,0.0000,0.000,0.000
0.65,0.0000,0.000,0.000,0.0000,0.000,0.000
0.67,0.0000,0.000,0.000,0.0000,0.000,0.000
0.68,0.0000,0.000,0.000,0.0000,0.000,0.000
0.69,0.0000,0.000,0.000,0.0000,0.000,0.000
0.71,0.0000,0.000,0.000,0.0000,0.000,0.000
0.72,0.0000,0.000,0.000,0.0000,0.000,0.000
0.73,0.0000,0.000,0.000,0.0000,0.000,0.000
0.75,0.0000,0.000,0.000,0.0000,0.000,0.000
0.76,0.0000,0.000,0.000,0.0000,0.000,0.000
0.77,0.0000,0.000,0.000,0.0000,0.000,0.000
0.79,0.0000,0.000,0.000,0.0000,0.000,0.000
0.80,0.0000,0.000,0.000,0.0000,0.000,0.000
0.81,0.0000,0.000,0.000,0.0000,0.000,0.000
0.83,0.0000,0.000,0.000,0.0000,0.000,0.000
0.84,0.0000,0.000,0.000,0.0000,0.000,0.000
0.85,0.0000,0.000,0.000,0.0000,0.000,0.000
0.87,0.0000,0.000,0.000,0.0000,0.000,0.000
0.88,0.0000,0.000,0.000,0.0000,0.000,0.000
0.89,0.0000,0.000,0.000,0.0000,0.000,0.000
0.91,0.0000,0.000,0.000,0.0000,0.000,0.000
0.92,0.0000,0.000,0.000,0.0000,0.000,0.000
0.93,0.0000,0.000,0.000,0.0000,0.000,0.000
0.95,0.0000,0.000,0.000,0.0000,0.000,0.000
0.96,0.0000,0.000,0.000,0.0000,0.000,0.000
0.97,0.0000,0.000,0.000,0.0000,0.000,0.000
0.99,0.0000,0.000,0.000,0.0000,0.000,0.000
1.00,0.0000,0.000,0.000,0.0000,0.000,0.000
1.01,0.0000,0.000,0.000,0.0000,0.000,0.000
1.03,0.0000,0.000,0.000,0.0000,0.000,0.000
1.04,0.0000,0.000,0.000,0.0000,0.000,0.000
1.05,0.0000,0.000,0.000,0.0000,0.000,0.000
1.07,0.0000,0.000,0.000,0.0000,0.000,0.000
1.08,0.0000,0.000,0.000,0.0000,0.000,0.000
1.09,0.0000,0.000,0.000,0.0000,0.000,0.000
1.11,0.0000,0.000,0.000,0.0000,0.000,0.000
1.12,0.0000,0.000,0.000,0.0000,0.000,0.000
1.13,0.0000,0.000,0.000,0.0000,0.000,0.000
1.15,0.0000,0.000,0.000,0.0000,0.000,0.000
1.16,0.0000,0.000,0.000,0.0000,0.000,0.000
1.17,0.0000,0.000,0.000,0.0000,0.000,0.000
1.19,0.0000,0.000,0.000,0.0000,0.000,0.000
1.20,0.0000,0.000,0.000,0.0000,0.000,0.000
1.21,0.0000,0.000,0.000,0.0000,0.000,0.000
1.23,0.0000,0.000,0.000,0.0000,0.000,0.000
1.24,0.0000,0.000,0.000,0.0000,0.000,0.000
1.25,0.0000,0.000,0.000,0.0000,0.000,0.000
1.27,0.0000,0.000,0.000,0.0000,0.000,0.000
1.28,0.0000,0.000,0.000,0.0000,0.000,0.000
1.29,0.0000,0.000,0.000,0.0000,0.000,0.000
1.31,0.0000,0.000,0.000,0.0000,0.000,0.000
1.32,0.0000,0.000,0.000,0.0000,0.000,0.000
1.33,0.0000,0.000,0.000,0.0000,0.000,0.000
1.35,0.0000,0.000,0.000,0.0000,0.000,0.000
1.36,0.0000,0.000,0.000,0.0000,0.000,0.004
1.37,0.0000,0.000,0.000,0.0000,0.000,0.030
1.39,0.0000,0.000,0.000,0.0000,0.000,0.152
1.40,0.0000,0.000,0.000,0.0000,0.002,0.412
1.41,0.0000,0.000,0.000,0.0000,0.008,0.803
1.43,0.0000,0.000,0.000,0.0000,0.029,0.781
1.44,0.0000,0.000,0.000,0.0010,0.035,0.291
1.45,0.0000,0.000,0.000,0.0010,0.035,-0.109
1.47,0.0000,0.000,0.000,0.0020,0.031,-0.365
1.48,0.0000,0.000,0.004,0.0020,0.017,0.004
1.49,0.0000,0.000,0.030,0.0020,0.031,0.399
1.51,0.0000,0.000,0.148,0.0030,0.035,0.291
1.52,0.0000,0.002,0.386,0.0030,0.038,0.273
1.53,0.0000,0.008,0.690,0.0040,0.040,0.434
1.55,0.0000,0.027,0.582,0.0040,0.046,0.786
1.56,0.0010,0.029,0.200,0.0050,0.067,0.690
1.57,0.0010,0.019,0.716,0.0060,0.071,0.178
1.59,0.0010,0.042,1.649,0.0070,0.069,-0.113
1.60,0.0020,0.073,1.910,0.0080,0.056,0.352
1.61,0.0030,0.102,1.493,0.0080,0.075,1.094
1.63,0.0050,0.113,1.011,0.0100,0.098,1.059
1.64,0.0060,0.121,1.059,0.0110,0.098,1.224
1.65,0.0080,0.142,1.176,0.0120,0.133,1.150
1.67,0.0100,0.152,1.402,0.0150,0.140,0.464
1.68,0.0120,0.169,2.240,0.0160,0.131,0.694
1.69,0.0140,0.217,2.761,0.0180,0.152,1.293
1.71,0.0180,0.254,2.496,0.0200,0.177,1.263
1.72,0.0210,0.277,2.513,0.0230,0.188,1.129
1.73,0.0250,0.323,2.400,0.0250,0.198,1.554
1.75,0.0300,0.344,2.149,0.0280,0.227,2.096
1.76,0.0340,0.375,2.261,0.0310,0.260,2.218
1.77,0.0400,0.406,2.287,0.0350,0.292,1.966
1.79,0.0450,0.429,2.748,0.0390,0.308,1.966
1.80,0.0510,0.481,2.986,0.0430,0.340,2.218
1.81,0.0580,0.521,2.327,0.0480,0.373,2.092
1.83,0.0650,0.550,1.150,0.0530,0.402,1.528
1.84,0.0730,0.552,-0.004,0.0590,0.413,1.007
1.85,0.0800,0.535,-0.082,0.0640,0.421,0.994
1.87,0.0870,0.538,0.694,0.0700,0.442,0.842
1.88,0.0940,0.560,1.081,0.0760,0.448,0.417
1.89,0.1020,0.581,0.499,0.0820,0.450,0.152
1.91,0.1100,0.571,-0.017,0.0880,0.450,0.030
1.92,0.1170,0.571,0.017,0.0940,0.450,0.004
1.93,0.1250,0.581,-0.495,0.1000,0.450,0.000
1.95,0.1330,0.560,-1.050,0.1060,0.450,0.000
1.96,0.1400,0.538,-0.538,0.1120,0.450,0.000
1.97,0.1470,0.538,0.534,0.1180,0.450,-0.000
1.99,0.1540,0.560,1.020,0.1240,0.450,-0.000
2.00,0.1620,0.581,0.347,0.1300,0.450,0.000
2.01,0.1700,0.569,-0.395,0.1360,0.450,-0.000
2.03,0.1770,0.563,-0.608,0.1420,0.450,-0.000
2.04,0.1850,0.554,-0.747,0.1480,0.450,0.000
2.05,0.1920,0.535,-0.304,0.1540,0.450,0.000
2.07,0.1990,0.538,0.625,0.1600,0.450,0.000
2.08,0.2060,0.560,0.925,0.1660,0.450,-0.000
2.09,0.2140,0.579,0.091,0.1720,0.450,-0.000
2.11,0.2220,0.563,-0.786,0.1780,0.450,-0.000
2.12,0.2290,0.542,-0.586,0.1840,0.450,0.000
2.13,0.2360,0.548,-0.256,0.1900,0.450,0.000
2.15,0.2440,0.535,0.100,0.1960,0.450,-0.000
2.16,0.2500,0.542,0.903,0.2020,0.450,-0.000
2.17,0.2580,0.575,0.651,0.2080,0.450,-0.000
2.19,0.2660,0.567,-0.156,0.2140,0.450,0.000
2.20,0.2730,0.563,-0.495,0.2200,0.450,0.000
2.21,0.2810,0.554,-0.751,0.2260,0.450,-0.000
2.23,0.2880,0.535,-0.447,0.2320,0.450,-0.000
2.24,0.2950,0.535,0.239,0.2380,0.450,-0.000
2.25,0.3020,0.552,0.247,0.2440,0.450,-0.000
2.27,0.3100,0.552,-0.395,0.2500,0.450,0.000
2.28,0.3170,0.533,-0.508,0.2560,0.450,0.000
2.29,0.3240,0.529,0.030,0.2620,0.450,-0.004
2.31,0.3310,0.533,0.655,0.2680,0.450,-0.030
2.32,0.3380,0.554,0.747,0.2740,0.450,-0.148
2.33,0.3460,0.560,0.260,0.2800,0.448,-0.382
2.35,0.3530,0.560,-0.230,0.2860,0.442,-0.655
2.36,0.3610,0.554,-0.629,0.2920,0.423,-0.395
2.37,0.3680,0.535,-0.421,0.2970,0.423,0.391
2.39,0.3750,0.535,0.243,0.3030,0.442,0.629
2.40,0.3820,0.552,0.247,0.3090,0.448,0.260
2.41,0.3900,0.552,-0.395,0.3150,0.448,-0.113
2.43,0.3970,0.533,-0.517,0.3210,0.444,-0.369
2.44,0.4040,0.529,-0.035,0.3270,0.429,-0.039
2.45,0.4110,0.533,0.317,0.3320,0.444,0.139
2.47,0.4180,0.550,-0.282,0.3390,0.446,-0.716
2.48,0.4260,0.542,-2.092,0.3440,0.435,-2.522
2.49,0.4330,0.492,-3.980,0.3510,0.390,-5.226
2.51,0.4390,0.435,-5.920,0.3550,0.294,-7.852
2.52,0.4450,0.344,-8.208,0.3590,0.175,-10.079
2.53,0.4490,0.198,-8.963,0.3600,0.023,-11.806
2.55,0.4500,0.071,-7.335,0.3600,-0.154,-12.119
2.56,0.4500,0.002,-5.447,0.3560,-0.333,-9.948
2.57,0.4500,-0.054,-4.670,0.3500,-0.433,-6.611
2.59,0.4490,-0.129,-3.529,0.3440,-0.492,-4.297
2.60,0.4460,-0.165,-1.467,0.3370,-0.544,-2.387
2.61,0.4440,-0.156,-0.243,0.3290,-0.556,-0.681
2.63,0.4420,-0.154,-0.217,0.3220,-0.554,0.313
2.64,0.4400,-0.158,-0.547,0.3140,-0.535,0.334
2.65,0.4380,-0.177,-0.369,0.3080,-0.535,-0.373
2.67,0.4350,-0.177,0.395,0.3000,-0.554,-0.508
2.68,0.4330,-0.158,0.629,0.2930,-0.558,0.000
2.69,0.4310,-0.152,0.260,0.2850,-0.554,0.508
2.71,0.4290,-0.152,-0.113,0.2780,-0.535,0.365
2.72,0.4270,-0.156,-0.365,0.2710,-0.535,-0.395
2.73,0.4250,-0.171,0.000,0.2640,-0.554,-0.625
2.75,0.4220,-0.156,0.369,0.2560,-0.560,-0.230
2.76,0.4210,-0.152,0.139,0.2490,-0.560,0.260
2.77,0.4180,-0.152,-0.139,0.2410,-0.554,0.747
2.79,0.4170,-0.156,-0.369,0.2340,-0.533,0.655
2.80,0.4140,-0.171,0.004,0.2270,-0.529,0.030
2.81,0.4120,-0.156,0.395,0.2200,-0.533,-0.508
2.83,0.4100,-0.152,0.260,0.2130,-0.552,-0.395
2.84,0.4080,-0.150,0.122,0.2050,-0.552,0.252
2.85,0.4060,-0.150,0.026,0.1980,-0.535,0.273
2.87,0.4040,-0.150,-0.000,0.1910,-0.535,-0.273
2.88,0.4020,-0.150,-0.030,0.1840,-0.552,-0.252
2.89,0.4000,-0.150,-0.148,0.1760,-0.552,0.395
2.91,0.3980,-0.152,-0.382,0.1690,-0.533,0.512
2.92,0.3960,-0.158,-0.655,0.1620,-0.529,0.000
2.93,0.3940,-0.177,-0.395,0.1550,-0.533,-0.508
2.95,0.3910,-0.177,0.395,0.1480,-0.552,-0.369
2.96,0.3890,-0.158,0.655,0.1400,-0.552,0.369
2.97,0.3870,-0.152,0.382,0.1330,-0.533,0.508
2.99,0.3850,-0.150,0.148,0.1260,-0.529,0.000
3.00,0.3830,-0.150,0.030,0.1190,-0.533,-0.508
3.01,0.3810,-0.150,0.004,0.1120,-0.552,-0.365
3.03,0.3790,-0.150,-0.000,0.1040,-0.552,0.395
3.04,0.3770,-0.150,-0.000,0.0970,-0.533,0.625
3.05,0.3750,-0.150,-0.000,0.0900,-0.527,0.234
3.07,0.3730,-0.150,0.000,0.0830,-0.527,-0.234
3.08,0.3710,-0.150,0.000,0.0760,-0.533,-0.625
3.09,0.3690,-0.150,-0.000,0.0690,-0.552,-0.395
3.11,0.3670,-0.150,-0.004,0.0610,-0.552,0.365
3.12,0.3650,-0.150,-0.026,0.0540,-0.533,0.512
3.13,0.3630,-0.150,-0.122,0.0470,-0.529,0.026
3.15,0.3610,-0.152,-0.260,0.0400,-0.533,-0.386
3.16,0.3590,-0.156,-0.395,0.0330,-0.550,-0.074
3.17,0.3570,-0.171,-0.000,0.0250,-0.546,1.033
3.19,0.3540,-0.156,0.395,0.0180,-0.513,1.905
3.20,0.3530,-0.152,0.260,0.0120,-0.506,3.815
3.21,0.3500,-0.150,0.122,0.0040,-0.452,8.164
3.23,0.3490,-0.150,0.026,-0.0020,-0.269,10.817
3.24,0.3460,-0.150,0.004,-0.0030,-0.094,8.516
3.25,0.3450,-0.150,-0.000,-0.0030,-0.021,4.340
3.27,0.3420,-0.150,0.000,-0.0030,-0.002,1.537
3.28,0.3410,-0.150,0.000,-0.0030,0.000,0.365
3.29,0.3380,-0.150,0.000,-0.0030,0.000,0.056
3.31,0.3370,-0.150,-0.000,-0.0030,0.000,0.004
3.32,0.3340,-0.150,0.004,-0.0030,0.000,0.004
3.33,0.3330,-0.150,0.026,-0.0030,0.000,0.030
3.35,0.3300,-0.150,0.122,-0.0030,0.000,0.148
3.36,0.3290,-0.148,0.260,-0.0030,0.002,0.382
3.37,0.3260,-0.144,0.395,-0.0030,0.008,0.655
3.39,0.3250,-0.129,-0.000,-0.0030,0.027,0.399
3.40,0.3230,-0.144,-0.395,-0.0020,0.027,-0.365
3.41,0.3210,-0.148,-0.256,-0.0020,0.008,-0.508
3.43,0.3190,-0.150,-0.091,-0.0020,0.004,-0.000
3.44,0.3170,-0.150,0.122,-0.0020,0.008,0.508
3.45,0.3150,-0.148,0.378,-0.0020,0.027,0.365
3.47,0.3130,-0.142,0.655,-0.0010,0.027,-0.395
3.48,0.3110,-0.123,0.395,-0.0010,0.008,-0.625
3.49,0.3100,-0.123,-0.395,-0.0010,0.002,-0.234
3.51,0.3080,-0.142,-0.651,-0.0010,0.002,0.234
3.52,0.3060,-0.148,-0.356,-0.0010,0.008,0.625
3.53,0.3040,-0.150,-0.026,-0.0010,0.027,0.391
3.55,0.3020,-0.148,0.234,0.0000,0.027,-0.395
3.56,0.3000,-0.144,0.417,0.0000,0.008,-0.655
3.57,0.2980,-0.129,0.122,0.0000,0.002,-0.382
3.59,0.2970,-0.142,-0.130,0.0000,0.000,-0.148
3.60,0.2940,-0.142,0.165,0.0000,0.000,-0.026
3.61,0.2930,-0.129,0.026,0.0000,0.000,0.026
3.63,0.2910,-0.142,-0.039,0.0000,0.000,0.148
3.64,0.2890,-0.140,0.391,0.0000,0.002,0.382
3.65,0.2870,-0.123,0.278,0.0000,0.008,0.655
3.67,0.2860,-0.123,-0.395,0.0000,0.027,0.395
3.68,0.2840,-0.142,-0.538,0.0010,0.027,-0.395
3.69,0.2820,-0.146,-0.117,0.0010,0.008,-0.655
3.71,0.2800,-0.144,0.273,0.0010,0.002,-0.382
3.72,0.2780,-0.129,0.095,0.0010,0.000,-0.148
3.73,0.2770,-0.142,-0.109,0.0010,0.000,-0.030
3.75,0.2740,-0.142,0.282,0.0010,0.000,-0.004
3.76,0.2730,-0.127,0.260,0.0010,0.000,0.000
3.77,0.2710,-0.135,0.239,0.0010,0.000,0.000
3.79,0.2690,-0.121,0.161,0.0010,0.000,0.000
3.80,0.2680,-0.123,-0.369,0.0010,0.000,0.000
3.81,0.2660,-0.140,-0.295,0.0010,0.000,0.000
3.83,0.2640,-0.140,0.299,0.0010,0.000,0.000
3.84,0.2620,-0.123,0.395,0.0010,0.000,0.004
3.85,0.2610,-0.121,-0.043,0.0010,0.000,0.030
3.87,0.2590,-0.133,-0.000,0.0010,0.000,0.148
3.88,0.2570,-0.121,0.043,0.0010,0.002,0.382
3.89,0.2560,-0.123,-0.395,0.0010,0.008,0.655
3.91,0.2540,-0.140,-0.299,0.0010,0.027,0.395
3.92,0.2520,-0.140,0.299,0.0020,0.027,-0.395
3.93,0.2500,-0.123,0.399,0.0020,0.008,-0.655
3.95,0.2490,-0.121,-0.017,0.0020,0.002,-0.382
3.96,0.2470,-0.133,0.117,0.0020,0.000,-0.148
3.97,0.2450,-0.119,0.278,0.0020,0.000,-0.030
3.99,0.2440,-0.117,-0.117,0.0020,0.000,0.000
4.00,0.2420,-0.121,-0.534,0.0020,0.000,0.030
4.01,0.2410,-0.140,-0.373,0.0020,0.000,0.148
4.03,0.2380,-0.140,0.373,0.0020,0.002,0.382
4.04,0.2370,-0.121,0.534,0.0020,0.008,0.655
4.05,0.2350,-0.117,0.122,0.0020,0.027,0.395
4.07,0.2340,-0.119,-0.247,0.0030,0.027,-0.395
4.08,0.2320,-0.133,0.026,0.0030,0.008,-0.655
4.09,0.2300,-0.119,0.373,0.0030,0.002,-0.382
4.11,0.2290,-0.115,0.139,0.0030,0.000,-0.148
4.12,0.2270,-0.115,-0.139,0.0030,0.000,-0.026
4.13,0.2260,-0.119,-0.369,0.0030,0.000,0.026
4.15,0.2240,-0.133,0.000,0.0030,0.000,0.148
4.16,0.2220,-0.119,0.369,0.0030,0.002,0.382
4.17,0.2210,-0.115,0.139,0.0030,0.008,0.655
4.19,0.2190,-0.115,-0.139,0.0030,0.027,0.395
4.20,0.2180,-0.119,-0.369,0.0040,0.027,-0.395
4.21,0.2160,-0.133,-0.000,0.0040,0.008,-0.655
4.23,0.2140,-0.119,0.369,0.0040,0.002,-0.382
4.24,0.2130,-0.115,0.143,0.0040,0.000,-0.148
4.25,0.2110,-0.115,-0.113,0.0040,0.000,-0.030
4.27,0.2100,-0.119,-0.247,0.0040,0.000,-0.004
4.28,0.2080,-0.131,0.265,0.0040,0.000,0.000
4.29,0.2060,-0.113,0.786,0.0040,0.000,0.000
4.31,0.2050,-0.094,0.234,0.0040,0.000,0.000
4.32,0.2040,-0.106,-0.395,0.0040,0.000,0.000
4.33,0.2020,-0.113,-0.495,0.0040,0.000,0.000
4.35,0.2010,-0.119,-0.512,0.0040,0.000,0.000
4.36,0.1990,-0.133,-0.026,0.0040,0.000,0.000
4.37,0.1970,-0.119,0.395,0.0040,0.000,0.000
4.39,0.1960,-0.115,0.286,0.0040,0.000,0.000
4.40,0.1940,-0.113,0.243,0.0040,0.000,0.000
4.41,0.1930,-0.110,0.286,0.0040,0.000,0.000
4.43,0.1910,-0.106,0.395,0.0040,0.000,0.000
4.44,0.1900,-0.092,-0.026,0.0040,0.000,0.000
4.45,0.1890,-0.106,-0.512,0.0040,0.000,0.000
4.47,0.1870,-0.113,-0.495,0.0040,0.000,0.000
4.48,0.1860,-0.119,-0.395,0.0040,0.000,0.000
4.49,0.1840,-0.131,0.234,0.0040,0.000,0.000
4.51,0.1820,-0.113,0.786,0.0040,0.000,0.000
4.52,0.1810,-0.094,0.265,0.0040,0.000,0.000
4.53,0.1800,-0.106,-0.247,0.0040,0.000,0.000
4.55,0.1780,-0.110,-0.113,0.0040,0.000,0.000
4.56,0.1770,-0.110,0.143,0.0040,0.000,0.000
4.57,0.1750,-0.106,0.365,0.0040,0.000,0.000
4.59,0.1740,-0.092,-0.030,0.0040,0.000,0.000
4.60,0.1730,-0.106,-0.512,0.0040,0.000,0.000
4.61,0.1710,-0.113,-0.495,0.0040,0.000,0.000
4.63,0.1700,-0.119,-0.395,0.0040,0.000,0.000
4.64,0.1680,-0.131,0.239,0.0040,0.000,0.000
4.65,0.1660,-0.113,0.812,0.0040,0.000,0.000
4.67,0.1650,-0.094,0.382,0.0040,0.000,0.000
4.68,0.1640,-0.104,-0.009,0.0040,0.000,0.000
4.69,0.1620,-0.104,0.187,0.0040,0.000,0.000
4.71,0.1610,-0.092,0.004,0.0040,0.000,0.000
4.72,0.1600,-0.104,-0.161,0.0040,0.000,0.000
4.73,0.1580,-0.104,0.130,0.0040,0.000,0.000
4.75,0.1570,-0.092,-0.117,0.0040,0.000,0.000
4.76,0.1560,-0.106,-0.395,0.0040,0.000,0.000
4.77,0.1540,-0.110,-0.143,0.0040,0.000,0.000
4.79,0.1530,-0.110,0.143,0.0040,0.000,0.000
4.80,0.1510,-0.106,0.395,0.0040,0.000,0.000
4.81,0.1500,-0.092,0.117,0.0040,0.000,0.000
4.83,0.1490,-0.104,-0.130,0.0040,0.000,0.000
4.84,0.1470,-0.104,0.161,0.0040,0.000,0.000
4.85,0.1460,-0.092,0.000,0.0040,0.000,0.000
4.87,0.1450,-0.104,-0.156,0.0040,0.000,0.000
4.88,0.1430,-0.104,0.156,0.0040,0.000,0.000
4.89,0.1420,-0.092,-0.000,0.0040,0.000,0.000
4.91,0.1410,-0.104,-0.156,0.0040,0.000,0.000
4.92,0.1390,-0.104,0.161,0.0040,0.000,0.000
4.93,0.1380,-0.092,0.030,0.0040,0.000,0.000
4.95,0.1370,-0.104,-0.013,0.0040,0.000,0.000
4.96,0.1350,-0.102,0.528,0.0040,0.000,0.000
4.97,0.1340,-0.084,0.673,0.0040,0.000,0.000
4.99,0.1330,-0.078,0.481,0.0040,0.000,0.000
5.00,0.1320,-0.075,0.339,0.0040,0.000,0.000
